source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.674677848815918,ens_E3_015,2,monthly,1991-2020,1.1986418962478638,0.4760359525680542
CFS,CFSv2,dynamical,2026-04-27,2026-07,1.9956836700439453,ens_E3_015,3,monthly,1991-2020,1.5512611865997314,0.44442248344421387
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.2966229915618896,ens_E3_015,4,monthly,1991-2020,1.8309054374694824,0.4657175540924072
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.6908037662506104,ens_E3_015,5,monthly,1991-2020,2.254192352294922,0.4366114139556885
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.1081111431121826,ens_E3_015,6,monthly,1991-2020,2.7268178462982178,0.38129329681396484
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.4027843475341797,ens_E3_015,7,monthly,1991-2020,2.8986778259277344,0.5041065216064453
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.0650153160095215,ens_E3_015,8,monthly,1991-2020,2.5408525466918945,0.524162769317627
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.5132052898406982,ens_E3_015,9,monthly,1991-2020,1.847424864768982,0.6657804250717163
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.033058762550354,ens_E3_016,1,monthly,1991-2020,0.6347324848175049,0.3983262777328491
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.5010281801223755,ens_E3_016,2,monthly,1991-2020,0.959618091583252,0.5414100885391235
CFS,CFSv2,dynamical,2026-04-27,2026-07,1.8432965278625488,ens_E3_016,3,monthly,1991-2020,1.3913297653198242,0.4519667625427246
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.507578134536743,ens_E3_016,4,monthly,1991-2020,2.0572030544281006,0.4503750801086426
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.6982967853546143,ens_E3_016,5,monthly,1991-2020,2.1810507774353027,0.5172460079193115
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.3146533966064453,ens_E3_016,6,monthly,1991-2020,2.8214430809020996,0.4932103157043457
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.354297161102295,ens_E3_016,7,monthly,1991-2020,2.8297369480133057,0.5245602130889893
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.004824161529541,ens_E3_016,8,monthly,1991-2020,2.321272611618042,0.683551549911499
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.8267099857330322,ens_E3_016,9,monthly,1991-2020,2.1285674571990967,0.6981425285339355
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.0607441663742065,ens_E3_017,1,monthly,1991-2020,0.6311025619506836,0.42964160442352295
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.3116739988327026,ens_E3_017,2,monthly,1991-2020,0.7875730991363525,0.5241008996963501
CFS,CFSv2,dynamical,2026-04-27,2026-07,1.8545527458190918,ens_E3_017,3,monthly,1991-2020,1.3816697597503662,0.4728829860687256
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.3784756660461426,ens_E3_017,4,monthly,1991-2020,1.7870975732803345,0.5913780927658081
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.488821506500244,ens_E3_017,5,monthly,1991-2020,1.9086296558380127,0.5801918506622314
CFS,CFSv2,dynamical,2026-04-27,2026-10,2.632972478866577,ens_E3_017,6,monthly,1991-2020,2.0548856258392334,0.5780868530273438
CFS,CFSv2,dynamical,2026-04-27,2026-11,2.9338221549987793,ens_E3_017,7,monthly,1991-2020,2.3416953086853027,0.5921268463134766
CFS,CFSv2,dynamical,2026-04-27,2026-12,2.890453815460205,ens_E3_017,8,monthly,1991-2020,2.342052698135376,0.5484011173248291
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.971007823944092,ens_E3_017,9,monthly,1991-2020,2.4594647884368896,0.5115430355072021
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.0550923347473145,ens_E3_018,1,monthly,1991-2020,0.6754836440086365,0.379608690738678
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.5398565530776978,ens_E3_018,2,monthly,1991-2020,1.0580517053604126,0.48180484771728516
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.4443767070770264,ens_E3_018,3,monthly,1991-2020,1.9410169124603271,0.5033597946166992
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.6732046604156494,ens_E3_018,4,monthly,1991-2020,2.225391387939453,0.4478132724761963
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.947629928588867,ens_E3_018,5,monthly,1991-2020,2.4881467819213867,0.45948314666748047
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.4638705253601074,ens_E3_018,6,monthly,1991-2020,2.9590227603912354,0.5048477649688721
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.481781244277954,ens_E3_018,7,monthly,1991-2020,3.0834147930145264,0.39836645126342773
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.1517341136932373,ens_E3_018,8,monthly,1991-2020,2.6488330364227295,0.5029010772705078
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.9381837844848633,ens_E3_018,9,monthly,1991-2020,2.3443939685821533,0.59378981590271
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.0565115213394165,ens_E3_019,1,monthly,1991-2020,0.669130265712738,0.38738125562667847
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.5613664388656616,ens_E3_019,2,monthly,1991-2020,1.028322696685791,0.5330437421798706
CFS,CFSv2,dynamical,2026-04-27,2026-07,1.991458773612976,ens_E3_019,3,monthly,1991-2020,1.534478783607483,0.45697999000549316
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.66610050201416,ens_E3_019,4,monthly,1991-2020,2.183164596557617,0.48293590545654297
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.9459118843078613,ens_E3_019,5,monthly,1991-2020,2.5491809844970703,0.396730899810791
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.1844308376312256,ens_E3_019,6,monthly,1991-2020,2.810551643371582,0.37387919425964355
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.331577777862549,ens_E3_019,7,monthly,1991-2020,2.9784014225006104,0.3531763553619385
CFS,CFSv2,dynamical,2026-04-27,2026-12,2.898528575897217,ens_E3_019,8,monthly,1991-2020,2.35809326171875,0.5404353141784668
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.6086153984069824,ens_E3_019,9,monthly,1991-2020,2.0494327545166016,0.5591826438903809
CFS,CFSv2,dynamical,2026-04-27,2026-05,0.998920202255249,ens_E3_020,1,monthly,1991-2020,0.6096287369728088,0.3892914652824402
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.652777075767517,ens_E3_020,2,monthly,1991-2020,1.2906450033187866,0.36213207244873047
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.4444098472595215,ens_E3_020,3,monthly,1991-2020,2.093174457550049,0.35123538970947266
CFS,CFSv2,dynamical,2026-04-27,2026-08,3.0467636585235596,ens_E3_020,4,monthly,1991-2020,2.697079658508301,0.3496840000152588
CFS,CFSv2,dynamical,2026-04-27,2026-09,3.1710872650146484,ens_E3_020,5,monthly,1991-2020,2.7499654293060303,0.42112183570861816
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.3837625980377197,ens_E3_020,6,monthly,1991-2020,2.884477138519287,0.4992854595184326
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.5854711532592773,ens_E3_020,7,monthly,1991-2020,3.083310842514038,0.5021603107452393
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.6409859657287598,ens_E3_020,8,monthly,1991-2020,3.1340456008911133,0.5069403648376465
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.489316463470459,ens_E3_020,9,monthly,1991-2020,1.697117805480957,0.792198657989502
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.1229490041732788,ens_E3_021,1,monthly,1991-2020,0.7457698583602905,0.3771791458129883
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.3791778087615967,ens_E3_021,2,monthly,1991-2020,0.9674649238586426,0.4117128849029541
CFS,CFSv2,dynamical,2026-04-27,2026-07,1.8757448196411133,ens_E3_021,3,monthly,1991-2020,1.4715795516967773,0.40416526794433594
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.1490895748138428,ens_E3_021,4,monthly,1991-2020,1.6516474485397339,0.4974421262741089
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.0264265537261963,ens_E3_021,5,monthly,1991-2020,1.527311086654663,0.4991154670715332
CFS,CFSv2,dynamical,2026-04-27,2026-10,2.36742901802063,ens_E3_021,6,monthly,1991-2020,1.8350989818572998,0.5323300361633301
CFS,CFSv2,dynamical,2026-04-27,2026-11,2.147649049758911,ens_E3_021,7,monthly,1991-2020,1.575317621231079,0.572331428527832
